""	"doy"	"Year"	"Prec_mm"	"T_Celsius"	"ET0_mm"	"DATE"	"site.x"	"meanNDVI"	"meanNDWI"
"1"	38	2019	0	7.0245	1.73143626988182	2019-02-07	"GOR1"	0.544678561535871	-0.0074926528211492
"2"	48	2019	0	6.54741666666667	1.80912426542276	2019-02-17	"GOR1"	0.556043381715188	-0.0162896294138074
"3"	58	2019	0	8.211625	2.2243366463593	2019-02-27	"GOR1"	0.542296398620195	-0.0288676315529289
"4"	68	2019	0	10.4252916666667	1.83354956912844	2019-03-09	"GOR1"	0.504349289299073	-0.0210938786064523
"5"	78	2019	0	9.58383333333333	1.44468026917469	2019-03-19	"GOR1"	0.512770323781373	0.00388061488406931
"6"	83	2019	0	12.57125	2.85611498265817	2019-03-24	"GOR1"	0.535842813734457	-0.0364569222683936
"7"	88	2019	0	8.14516666666667	2.32909460895338	2019-03-29	"GOR1"	0.462257477686223	0.0263408669769498
"8"	108	2019	0	12.48125	2.59009620579256	2019-04-18	"GOR1"	0.621670444825127	0.0612472835062725
"9"	158	2019	0	23.6125	3.8034008915305	2019-06-07	"GOR1"	0.850102021894883	0.380942434765572
"10"	163	2019	0	25.8908333333333	4.10576716880122	2019-06-12	"GOR1"	0.838337109971741	0.376680629554381
"11"	178	2019	0	25.3625	3.40025379077537	2019-06-27	"GOR1"	0.883743428140439	0.407004078579107
"12"	183	2019	0	24.3158333333333	3.12430082659853	2019-07-02	"GOR1"	0.879265404054074	0.40134808484502
"13"	188	2019	0	23.5208333333333	2.85252222700399	2019-07-07	"GOR1"	0.867175359150796	0.405134993256921
"14"	198	2019	0	19.4345833333333	2.68518539251521	2019-07-17	"GOR1"	0.881424778783825	0.411322982188475
"15"	203	2019	0	24.0833333333333	2.72281295149434	2019-07-22	"GOR1"	0.874798017625062	0.393679065442957
"16"	208	2019	0	23.2691666666667	2.95502659910412	2019-07-27	"GOR1"	0.879345973656484	0.402012908755743
"17"	213	2019	0	22.6258333333333	2.28173810482697	2019-08-01	"GOR1"	0.872408435348991	0.396708836507956
"18"	218	2019	0	23.495	3.15445008559735	2019-08-06	"GOR1"	0.87680484703475	0.394646850258013
"19"	223	2019	0	26.5275	2.94702720580806	2019-08-11	"GOR1"	0.878141366084443	0.380510477786048
"20"	233	2019	0	24.3595833333333	3.05752585630822	2019-08-21	"GOR1"	0.874650106258639	0.375493108958897
"21"	238	2019	0	23.4904166666667	3.00414514025619	2019-08-26	"GOR1"	0.85634071652006	0.38041613880186
"22"	258	2019	0	20.7129166666667	3.31488873066564	2019-09-15	"GOR1"	0.830855271297324	0.370027078425765
"23"	283	2019	0	17.8404166666667	1.69926329271677	2019-10-10	"GOR1"	0.84579941645494	0.339816508964447
"24"	288	2019	0	16.8141666666667	1.9957836036566	2019-10-15	"GOR1"	0.787266351870736	0.334260350448448
"25"	293	2019	0	17.0141666666667	2.31703214033617	2019-10-20	"GOR1"	0.817903818515649	0.309892945552857
"26"	338	2019	0	9.02079166666667	1.95146704730319	2019-12-04	"GOR1"	0.690144418064313	0.151733906840325
"27"	348	2019	0	6.79708333333333	1.4361389246322	2019-12-14	"GOR1"	0.675831022958189	0.122147996095551
"28"	358	2019	0.2	7.6125	2.10305961430805	2019-12-24	"GOR1"	0.631184570117931	0.0640316185858209
