""	"doy"	"Year"	"Prec_mm"	"T_Celsius"	"ET0_mm"	"DATE"	"site.x"	"meanNDVI"	"meanNDWI"
"1"	3	2018	6.64	9.224375	1.31435843295713	2018-01-03	"MFC2"	0.689252020252332	0.243277213823713
"2"	18	2018	0	8.21883333333333	1.82732170577971	2018-01-18	"MFC2"	0.69979105186795	0.217191326105982
"3"	28	2018	0	11.2320833333333	1.35607114261881	2018-01-28	"MFC2"	0.671100481861941	0.208782999711629
"4"	48	2018	0	8.64258333333333	1.2733576219364	2018-02-17	"MFC2"	0.662498788006073	0.21444196647534
"5"	83	2018	0	6.291375	1.11259937246665	2018-03-24	"MFC2"	0.689809305673421	0.280315304341999
"6"	93	2018	0	13.8320833333333	2.01762253441283	2018-04-03	"MFC2"	0.701235273247196	0.279542559967141
"7"	98	2018	0	17.8204166666667	2.60571997026277	2018-04-08	"MFC2"	0.707971286212618	0.281883395850368
"8"	103	2018	0	15.9520833333333	1.74986927337036	2018-04-13	"MFC2"	0.748354069057032	0.327630450187082
"9"	108	2018	0	16.8620833333333	1.80050883557644	2018-04-18	"MFC2"	0.729234909336486	0.35250300579017
"10"	113	2018	0	16.7420833333333	1.65379324486388	2018-04-23	"MFC2"	0.747903540534534	0.375747359902516
"11"	118	2018	0	22.0858333333333	2.20322832384494	2018-04-28	"MFC2"	0.750518879279102	0.351762941370558
"12"	153	2018	0	22.0291666666667	2.03000813816247	2018-06-02	"MFC2"	0.655305011947045	0.257481841321369
"13"	163	2018	0	22.7666666666667	2.57408461532305	2018-06-12	"MFC2"	0.57456931392492	0.162829450096777
"14"	183	2018	0	25.66375	2.14012777918425	2018-07-02	"MFC2"	0.550716412882724	0.11668493748915
"15"	203	2018	0	25.3675	2.5314600538689	2018-07-22	"MFC2"	0.446477430439515	0.0954456187898147
"16"	218	2018	0	25.4458333333333	2.63657011585516	2018-08-06	"MFC2"	0.534153218115271	0.0554883019574643
"17"	233	2018	42.965	22.425	2.27092732284747	2018-08-21	"MFC2"	0.571675025084372	0.102941258604823
"18"	258	2018	0	22.2833333333333	1.95081785090726	2018-09-15	"MFC2"	0.682194143700974	0.213257668187402
"19"	273	2018	0	19.0795833333333	2.51395690212941	2018-09-30	"MFC2"	0.658050775924617	0.155079132637478
"20"	293	2018	0	19.95375	1.99019173265392	2018-10-20	"MFC2"	0.62937710301818	0.210937017038837
"21"	298	2018	0	17.2783333333333	1.66303278867812	2018-10-25	"MFC2"	0.707737313632479	0.205448988230512
"22"	318	2018	0	15.0783333333333	0.344300378796584	2018-11-14	"MFC2"	0.697995019645321	0.238306150548254
"23"	333	2018	0	9.14929166666667	1.83170500634391	2018-11-29	"MFC2"	0.714655359746975	0.238495815023215
"24"	353	2018	0	7.45579166666667	1.5709805236603	2018-12-19	"MFC2"	0.654292819212651	0.22794194570084
"25"	363	2018	0	9.53754166666667	0.680600342571097	2018-12-29	"MFC2"	0.688012371882748	0.218155542701498
